carID:num=0,modelID:num=0,pickUpTime:num=0,returnTime:num=0
1,1,1669785918,1670446513
2,2,1669705938,1670788108
3,3,1669847349,1670720439
4,4,1670136475,1670306540
5,5,1670171145,1670654209
6,6,1670110044,1670803215
7,7,1670090658,1670292753
8,8,1669745192,1670288058
9,9,1670122195,1670493450
10,10,1670078539,1670566565
11,11,1669824120,1670769858
12,12,1669972881,1670469163
13,13,1669745849,1670422969
14,14,1669913911,1670866191
15,15,1669740311,1670271471
16,16,1670146086,1670654424
17,17,1669978242,1670650534
18,18,1669731042,1670839995
19,19,1670111595,1670456237
20,20,1669791206,1670557363
21,21,1669813898,1670834658
22,22,1669800270,1670435893
23,23,1670188539,1670767314
24,24,1670075727,1670600094
25,25,1670009876,1670839689
26,26,1670194574,1670441261
27,27,1670025842,1670409331
28,28,1669990449,1670622871
29,29,1670035029,1670858935
30,30,1670098699,1670825732
31,31,1669731517,1670313206
32,32,1670152214,1670612035
33,33,1670226978,1670276313
34,34,1669658058,1670729228
