scheduleID:num=0,orderID:num=0,status:num=0,relate:str=null,time:datetime=2022-01-01 00:00:00
1,1,2,null,2022-11-15 05:33:31
2,2,2,null,2022-11-15 05:36:41
3,5,2,10,2022-11-15 05:40:04
4,5,2,10,2022-11-15 06:05:52
5,5,3,null,2022-11-15 06:05:52
6,2,2,10,2022-11-15 06:07:39
7,1,2,10,2022-11-15 06:12:37
8,2,2,10,2022-11-15 06:13:37
9,11,2,10,2022-11-16 02:40:02
10,11,2,10,2022-12-13 12:42:30
11,11,3,null,2022-12-13 13:38:58
12,1,2,10,2022-12-13 16:12:54
13,1,2,10,2022-12-14 17:44:56
14,1,2,10,2022-12-14 17:46:33
15,1,2,10,2022-12-14 17:47:49
16,1,2,10,2022-12-14 17:48:46
17,1,2,10,2022-12-14 17:50:58
18,1,2,10,2022-12-14 17:58:51
19,64,2,10,2022-12-14 18:09:11
20,64,2,10,2022-12-14 18:09:13
21,64,3,null,2022-12-14 18:09:55
22,65,2,10,2022-12-14 18:11:14
23,65,2,10,2022-12-14 18:11:15
24,239,5,null,2022-12-08 07:17:22
25,143,2,null,2022-12-14 11:43:48
26,90,-1,null,2022-12-08 05:01:05
27,83,2,null,2022-12-09 11:11:14
28,243,3,null,2022-12-09 12:31:07
29,186,3,null,2022-12-14 22:08:11
30,94,-1,null,2022-12-14 06:04:24
31,226,1,null,2022-12-09 01:20:39
32,217,3,null,2022-12-15 01:22:55
33,109,5,null,2022-12-11 14:55:27
34,84,3,null,2022-12-09 15:34:35
35,230,-1,null,2022-12-10 08:27:41
36,122,5,null,2022-12-08 12:10:56
37,153,2,null,2022-12-09 21:15:13
38,125,5,null,2022-12-12 08:08:40
39,104,1,null,2022-12-09 09:01:03
40,157,-1,null,2022-12-09 08:03:48
41,93,1,null,2022-12-12 10:57:36
42,138,2,null,2022-12-13 07:48:40
43,169,3,null,2022-12-12 11:00:31
44,116,-1,null,2022-12-10 23:27:40
45,223,1,null,2022-12-14 09:17:20
46,210,5,null,2022-12-12 17:21:30
47,97,2,null,2022-12-13 18:25:03
48,81,-1,null,2022-12-09 11:27:34
49,181,3,null,2022-12-09 13:43:49
