transactionID:num=0,userID:num=0,orderID:num=0,type:str=null,TRMethod:str=null,amount:num=0,TRDateTime:datetime=2022-01-01_00:00:00
1,1,1,rental,visa,4000,2022-05-18 02:08:34
2,1,2,rental,paypal,1500,2022-05-19 12:08:37
3,1,3,rental,visa,2500,2022-05-18 02:08:34
4,1,4,rental,tng,3888,2022-05-18 02:08:34
5,1,5,rental,tng,4260,2022-05-18 02:08:34
6,1,6,rental,paypal,1600,2022-06-20 02:08:34
7,1,7,rental,visa,4000,2022-05-18 02:08:34
8,1,8,rental,visa,4000,2022-05-18 02:08:34
9,1,9,rental,visa,8888,2022-05-18 02:08:34
10,1,10,rental,visa,4000,2022-05-18 02:08:34
11,1,11,rental,paypal,9000,2022-05-18 02:08:34
12,1,12,rental,visa,4000,2022-05-18 02:08:34
13,1,13,rental,visa,4000,2022-05-18 02:08:34
14,2,14,rental,visa,4000,2022-05-18 02:08:34
15,1,15,rental,visa,4000,2022-05-18 02:08:34
16,1,16,rental,visa,4000,2022-05-18 02:08:34
17,2,17,rental,visa,4000,2022-05-18 02:08:34
18,2,18,rental,visa,4000,2022-05-18 02:08:34
19,2,19,rental,visa,4000,2022-05-18 02:08:34
20,2,20,rental,visa,500,2022-05-18 02:08:34
21,8,21,rental,visa,800,2022-05-18 02:08:34
22,15,22,rental,visa,9900,2022-05-18 02:08:34
23,2,23,rental,visa,4000,2022-05-18 02:08:34
24,1,24,rental,visa,4000,2022-05-18 02:08:34
25,23,13,rental,visa,4000,2022-05-18 02:08:34
26,18,97,rental,paypal,2277,2022-12-11 04:10:05
27,4,139,rental,visa,3367,2022-12-11 18:00:54
28,20,93,rental,mastercard,1334,2022-12-11 03:33:25
29,1,83,rental,paypal,1560,2022-12-13 21:19:37
30,15,214,rental,paypal,2734,2022-12-10 04:18:17
31,1,180,rental,paypal,3460,2022-12-10 22:54:54
32,1,150,rental,visa,3567,2022-12-09 21:33:53
33,18,201,rental,mastercard,2458,2022-12-14 03:38:17
34,8,136,rental,visa,3878,2022-12-09 09:06:54
35,14,103,rental,paypal,2221,2022-12-14 05:25:23
36,10,126,rental,mastercard,3991,2022-12-08 09:10:10
37,9,194,rental,visa,3156,2022-12-14 03:04:09
38,19,250,rental,paypal,2903,2022-12-11 00:27:28
39,9,115,rental,paypal,2349,2022-12-11 10:55:28
40,8,175,rental,mastercard,3206,2022-12-12 11:00:09
41,7,181,rental,paypal,3741,2022-12-11 17:33:32
42,10,88,rental,mastercard,1802,2022-12-12 20:05:45
43,18,129,rental,visa,2162,2022-12-13 01:29:23
44,4,171,rental,paypal,3188,2022-12-10 09:04:37
45,3,232,rental,visa,1603,2022-12-09 23:14:03
46,15,246,rental,visa,1207,2022-12-08 19:54:36
47,3,209,rental,visa,2474,2022-12-14 00:44:11
48,9,181,rental,visa,3661,2022-12-10 08:21:38
49,6,242,rental,mastercard,1714,2022-12-14 05:58:28
50,2,81,rental,mastercard,2483,2022-12-14 16:23:24
