carID:num=0,modelID:num=0,pickUpTime:num=0,returnTime:num=0
1,1,1670057540,1670432775
2,2,1669658209,1670525091
3,3,1670135836,1670386749
4,4,1669689454,1670571701
5,5,1670100531,1670694063
6,6,1669782632,1670720861
7,7,1669760436,1670297194
8,8,1669714650,1670222059
9,9,1669913786,1670778556
10,10,1670047393,1670469472
11,11,1669937562,1670271946
12,12,1669899021,1670662736
13,13,1669983402,1670404697
14,14,1669817033,1670299321
15,15,1669661444,1670650543
16,16,1669901613,1670414673
17,17,1669951454,1670577120
18,18,1670106444,1670625664
19,19,1669883088,1670672945
20,20,1670023886,1670381330
21,21,1670174995,1670314259
22,22,1669652443,1670552801
23,23,1669904961,1670513518
24,24,1670045961,1670321686
25,25,1669875038,1670254072
26,26,1669642954,1670301699
27,27,1669723275,1670709104
28,28,1670120886,1670522870
29,29,1669727543,1670474103
30,30,1670147869,1670466811
31,31,1669858568,1670406932
32,32,1669697929,1670708667
33,33,1669831225,1670280042
34,34,1669664948,1670245739
